name,url,tripadvisor_id,num_reviews
Aqueduto das Aguas Livres,https://www.tripadvisor.com/Attraction_Review-g189158-d4463130-Reviews-Aqueduto_das_Aguas_Livres-Lisbon_Lisbon_District_Central_Portugal.html,4463130,294
Praça Luís de Camões,https://www.tripadvisor.com/Attraction_Review-g189158-d8874604-Reviews-Praca_Luis_de_Camoes-Lisbon_Lisbon_District_Central_Portugal.html,8874604,237
Museu Benfica - Cosme Damiao,https://www.tripadvisor.com/Attraction_Review-g189158-d4702335-Reviews-Museu_Benfica_Cosme_Damiao-Lisbon_Lisbon_District_Central_Portugal.html,4702335,274
EcoMassage Lisbon,https://www.tripadvisor.com/Attraction_Review-g189158-d15518965-Reviews-EcoMassage_Lisbon-Lisbon_Lisbon_District_Central_Portugal.html,15518965,1505
Lisbon Craft,https://www.tripadvisor.com/Attraction_Review-g189158-d9608966-Reviews-Lisbon_Craft-Lisbon_Lisbon_District_Central_Portugal.html,9608966,84
Jardim do Principe Real,https://www.tripadvisor.com/Attraction_Review-g189158-d3923956-Reviews-Jardim_do_Principe_Real-Lisbon_Lisbon_District_Central_Portugal.html,3923956,200
A Ginjinha,https://www.tripadvisor.com/Attraction_Review-g189158-d2320746-Reviews-A_Ginjinha-Lisbon_Lisbon_District_Central_Portugal.html,2320746,1414
Terra Heal - Massage Spa Lisbon,https://www.tripadvisor.com/Attraction_Review-g189158-d10644346-Reviews-Terra_Heal_Massage_Spa_Lisbon-Lisbon_Lisbon_District_Central_Portugal.html,10644346,1117
Pensão Amor,https://www.tripadvisor.com/Attraction_Review-g189158-d3865221-Reviews-Pensao_Amor-Lisbon_Lisbon_District_Central_Portugal.html,3865221,1040
Carris - Elétricos de Lisboa,https://www.tripadvisor.com/Attraction_Review-g189158-d546613-Reviews-Carris_Eletricos_de_Lisboa-Lisbon_Lisbon_District_Central_Portugal.html,546613,2655
Metropolitano de Lisboa,https://www.tripadvisor.com/Attraction_Review-g189158-d8029755-Reviews-Metropolitano_de_Lisboa-Lisbon_Lisbon_District_Central_Portugal.html,8029755,854
Monumento A D. Pedro IV,https://www.tripadvisor.com/Attraction_Review-g189158-d10607196-Reviews-Monumento_A_D_Pedro_IV-Lisbon_Lisbon_District_Central_Portugal.html,10607196,168
